,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B,Indexador
3023,ELET23,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS,15/04/2031,"IPCA + 4,9126%","7,0507","6,7705","6,9197","0,1036","6,8161","7,0233","1201,569355","91,33","1200,38",35.0,15/08/2030,IPCA+
3024,ELET42,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS,15/05/2029,"IPCA + 5,1814%","7,397","7,0375","7,1853","0,1186","7,0666","7,304","1369,47212","95,5278","608,87",,15/08/2028,IPCA+
3025,ELPLA5,ELETROPAULO METROP. ELETRIC. DE S.P. S/A (*),15/04/2031,"IPCA + 4,26%","7,8961","7,5016","7,7035","0,0588","7,6448","7,7624","1151,502266","87,6576","1014,32",,15/08/2030,IPCA+
3026,ELPLA7,ELETROPAULO METROP. ELETRIC. DE S.P. S/A (*),15/04/2032,"IPCA + 6,1385%","7,8942","7,5245","7,7205","0,0664","7,6541","7,787","1102,063548","93,3957","1157,88",,15/08/2030,IPCA+
3027,ELPLB4,ELETROPAULO METROP. ELETRIC. DE S.P. S/A,15/05/2026,"IPCA + 4,0134%","9,4705","9,095","9,1875","0,1189","9,0686","9,3065","1382,966039","96,9736","159,49",35.0,15/08/2026,IPCA+
3028,ELPLC8,ELETROPAULO METROP. ELETRIC. DE S.P. S/A (*),15/06/2029,"IPCA + 8,3%","7,9073","7,339","7,652","0,0259","7,6261","7,678","1055,427811","102,2468",933,,15/05/2029,IPCA+
3029,ELTE12,EMPRESA LITORANEA DE TRANSMISSAO DE ENERGIA S.A. - ELTE (*),15/07/2039,"IPCA + 6,4232%","7,0868","6,7901","6,9305","0,1073","6,8232","7,0378","973,222457","97,2183","1484,71",,15/05/2033,IPCA+
3030,ELTN15,CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE (*),15/04/2031,"IPCA + 6,3423%","7,0739","6,7671","6,92","0,0767","6,8433","6,9968","1066,930943","97,5274","1162,68",,15/08/2030,IPCA+
3031,ELTN27,CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE (*),15/07/2032,"IPCA + 7,3146%","7,0292","6,7568","6,8246","0,0569","6,7677","6,8815","1040,885155","102,5121","1368,71",,15/08/2032,IPCA+
3032,ELTN37,CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE (*),15/07/2035,"IPCA + 7,2083%","7,0255","6,6648","6,8255","0,0647","6,7608","6,8902","1041,435258","102,5848","1802,77",5.0,15/05/2035,IPCA+
3033,ENAT11,ENAUTA PARTICIPACOES S.A. (*),15/12/2029,"IPCA + 9,8297%","8,0653","7,7691","7,8898","0,1177","7,7721","8,0076","1212,623","103,9301","548,22",,15/08/2028,IPCA+
3034,ENAT12,ENAUTA PARTICIPACOES S.A. (*),17/09/2029,"IPCA + 7,1149%",--,--,"8,0219","0,1711","7,8508","8,1931","1072,074768","97,7421","681,7",,15/08/2028,IPCA+
3035,ENAT13,ENAUTA PARTICIPACOES S.A. (*),15/06/2030,"IPCA + 8,0618%","7,949","7,7554","7,8943","0,3082","7,5861","8,2026","1087,237705","100,6118","991,23",,15/08/2030,IPCA+
3036,ENAT14,ENAUTA PARTICIPACOES S.A. (*),15/06/2030,"IPCA + 8,056%","8,0292","7,7332","7,8468","0,0952","7,7516","7,9421","1088,535315","100,7651","991,53",10.0,15/08/2030,IPCA+
3037,ENAT24,ENAUTA PARTICIPACOES S.A. (*),15/06/2034,"IPCA + 8,2674%","8,4039","8,0101","8,2743","0,5401","7,7341","8,8145","1080,445773","99,9635","1444,04",,15/08/2032,IPCA+
3038,ENAT33,ENAUTA PARTICIPACOES S.A. (*),15/06/2034,"IPCA + 8,262%","8,3637","8,0424","8,3423","0,4737","7,8686","8,8161","1076,583191","99,5761","1443,1",,15/08/2032,IPCA+
3039,ENERA1,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,15/02/2031,"IPCA + 6,1076%",--,--,"7,2754","0,0386","7,2368","7,314","1035,832932","95,4518","1069,21",,15/08/2030,IPCA+
3040,ENERB4,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,15/09/2034,"IPCA + 6,4364%","7,1832","6,8922","7,0133","0,0579","6,9554","7,0713","1010,957506","96,3227","1741,08",35.0,15/05/2035,IPCA+
3041,ENEV13,ENEVA S.A.,15/12/2027,"IPCA + 4,2259%","9,2271","8,84","9,0097","0,2278","8,7819","9,2376","1334,489219","94,8857","291,16",,15/08/2026,IPCA+
3042,ENEV15,ENEVA S.A.,15/06/2030,"IPCA + 5,5%","7,5698","7,182","7,3412","0,0595","7,2817","7,4008","1320,417462","94,3965","837,1",,15/05/2029,IPCA+
3043,ENEV16,ENEVA S.A.,15/09/2030,"IPCA + 4,127%","7,5255","7,2103","7,3461","0,0635","7,2826","7,4096","1221,123753","89,4409","919,12",,15/05/2029,IPCA+
3044,ENEV18,ENEVA S.A. (*),15/07/2032,"IPCA + 6,5254%","7,547","7,2248","7,3558","0,0835","7,2722","7,4394","1108,626633","96,3212","1213,23",,15/08/2030,IPCA+
3045,ENEV19,ENEVA S.A. (*),15/09/2032,"IPCA + 6,9%","7,5017","7,1122","7,3185","0,0628","7,2556","7,3814","1128,025899","98,0798","1248,88",35.0,15/08/2032,IPCA+
3046,ENEV26,ENEVA S.A.,15/09/2035,"IPCA + 4,5034%","7,3659","7,0387","7,2038","0,1061","7,0977","7,3099","1131,567481","82,8766","1831,17",,15/05/2035,IPCA+
3047,ENEV28,ENEVA S.A. (*),15/07/2037,"IPCA + 6,5891%","7,3569","6,9981","7,1837","0,0596","7,1241","7,2435","1102,481009","95,7764","1945,19",,15/05/2035,IPCA+
3048,ENEV29,ENEVA S.A. (*),15/09/2037,IPCA + 7%,"7,3535","7,0345","7,2013","0,0975","7,1038","7,2989","1133,353132","98,5415","1966,56",,15/05/2035,IPCA+
3049,ENEV32,ENEVA S.A.,15/05/2029,"IPCA + 5,05%","7,7223","7,3555","7,5173","0,0633","7,454","7,5808","1353,676155","94,5215","609,08",,15/08/2028,IPCA+
3050,ENEV39,ENEVA S.A. (*),15/09/2042,"IPCA + 7,15%","7,3055","6,9699","7,1116","0,1355","6,9761","7,2471","1154,339484","100,364","2555,9",35.0,15/08/2040,IPCA+
3051,ENEVA0,ENEVA S.A. (*),15/04/2034,"IPCA + 6,5643%","7,3681","7,101","7,2123","0,1023","7,11","7,3147","1055,481675","96,4984","1476,71",,15/05/2033,IPCA+
3052,ENEVB0,ENEVA S.A. (*),15/04/2039,"IPCA + 6,6737%","7,3086","6,9825","7,1142","0,0555","7,0587","7,1698","1056,959313","96,5906","2110,72",35.0,15/05/2035,IPCA+
