,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
930,MRSAB2,MRS LOGÍSTICA S/A (*),15/09/2036,"IPCA + 6,5514%","7,0925","6,7635","6,9378","0,0682","6,8696","7,0061","1022,180475","97,34","1871,86",,15/05/2035
931,MRSAB3,MRS LOGÍSTICA S/A (*),15/07/2040,"IPCA + 6,8437%","6,9884","6,7296","6,8401","0,0373","6,8028","6,8775","1015,087991","100,0305","2280,9",50.0,15/08/2040
932,MRSAC1,MRS LOGÍSTICA S/A (*),15/09/2038,"IPCA + 6,4496%","6,9367","6,6155","6,7701","0,094","6,6761","6,8643","1067,146246","97,4799","2133,14",,15/08/2040
933,MRSAC2,MRS LOGÍSTICA S/A (*),15/09/2039,"IPCA + 6,5796%","6,962","6,6134","6,7859","0,0532","6,7327","6,8392","1032,192245","98,2931","2238,67",,15/08/2040
934,MSGT12,MATA DE SANTA GENEBRA TRANSMISSÃO S/A,15/11/2030,"IPCA + 4,95%","7,9023","7,5621","7,7502","0,1022","7,648","7,8525","879,034859","93,6083","625,7",,15/08/2028
935,MSGT13,MATA DE SANTA GENEBRA TRANSMISSÃO S/A (*) (**),15/11/2031,"IPCA + 7,0605%","8,7864","8,4378","8,6183","0,0958","8,5225","8,7142","1012,344218","95,4402","807,77",,15/05/2029
936,MSGT23,MATA DE SANTA GENEBRA TRANSMISSÃO S/A (*),15/11/2037,"IPCA + 6,0762%","7,4237","7,013","7,2206","0,1276","7,093","7,3483","1085,140565","92,9372","1702,08",,15/05/2035
937,MSGT33,MATA DE SANTA GENEBRA TRANSMISSÃO S/A (*),15/11/2041,"IPCA + 6,2339%","7,2837","6,9814","7,1168","0,0609","7,056","7,1778","1059,936205","93,0901","2150,42",,15/08/2040
938,MTRJ19,CONCESSÃO METROVIÁRIA DO R. JANEIRO S/A (*),15/12/2031,"IPCA + 7,0857%","7,1117","6,4741","6,8292","0,207","6,6222","7,0363","1278,011921","100,7348","770,28",10.0,15/05/2029
939,MVLV16,MOVIDA PARTICIPACOES S/A (*),15/06/2028,"IPCA + 7,1702%",--,--,"12,192","0,1101","12,0819","12,3022","1547,615741","88,2797",686,,15/08/2028
940,NEOE16,NEOENERGIA S/A,15/06/2029,"IPCA + 4,07%","7,4886","7,1749","7,3522","0,0783","7,2739","7,4306","1311,25736","92,3089","646,46",15.0,15/08/2028
941,NEOE26,NEOENERGIA S/A,15/06/2033,"IPCA + 4,22%","7,3815","7,0228","7,205","0,0613","7,1437","7,2665","929,950917","89,9813","924,19",,15/05/2029
942,NMCH11,NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A. (*),15/12/2038,"IPCA + 6,5599%","7,5868","7,0727","7,305","0,1059","7,1992","7,411","1054,65053","96,0431","1449,97",,15/08/2032
943,NNAE12,SPE NOVO NORTE AEROPORTOS S.A. (*),15/12/2040,"IPCA + 9,5%","8,9737","8,6479","8,8307","0,3215","8,5092","9,1523","1260,12934","103,7682","1532,16",35.0,15/05/2033
944,NRTB11,NORTE BRASIL TRANSMISSORA DE ENERGIA S/A,15/09/2026,"IPCA + 7,15%","9,3733","9,1601","9,3688","0,1481","9,2207","9,517","290,977781","98,5249","182,55",,15/08/2026
945,NRTB21,NORTE BRASIL TRANSMISSORA DE ENERGIA S/A,15/09/2026,"IPCA + 7,15%","9,3685","9,1419","9,358","0,148","9,21","9,506","345,552844","98,5319","182,55",,15/08/2026
946,NTEN11,NORTE ENERGIA S/A,15/05/2030,"IPCA + 7,25%","12,2555","11,5066","11,8568","0,3697","11,4871","12,2266","1113,436141","91,0841","548,93",,15/08/2028
947,ODTR11,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/10/2025,"IPCA + 6,7%","10,0766","9,4976","9,783","0,4544","9,3285","10,2375","20653,046204","99,7855",19,,
948,ODYA11,ODOYA TRANSMISSORA DE ENERGIA S.A.. (*),15/09/2031,"IPCA + 6,7968%",--,--,"7,9395","0,099","7,8405","8,0387","857,227604","97,1387","683,28",,15/08/2028
949,OMGE12,OMEGA GERAÇÃO S/A,15/09/2028,"IPCA + 4,3671%","8,1147","7,7385","7,853","0,0716","7,7814","7,9247","1247,796511","91,1546","709,24",35.0,15/08/2028
950,OMGE22,OMEGA GERAÇÃO S/A,15/09/2028,"IPCA + 4,3671%","8,099","7,741","7,9157","0,0547","7,861","7,9705","1244,452182","90,9103","717,4",,15/08/2028
951,OMGE31,OMEGA GERAÇÃO S/A (*) (**),15/05/2026,"IPCA + 5,6%","10,392","9,9956","10,2524","0,1976","10,0548","10,4501","837,033527","97,2498",163,,15/08/2026
952,OMGE41,OMEGA GERAÇÃO S/A,15/05/2027,IPCA + 5%,"8,6557","8,1458","8,3877","0,0628","8,3249","8,4505","1362,126841","95,1456","394,59",,15/05/2027
953,OMNG12,OMEGA ENERGIA E IMPLANTACAO 2 S.A.,15/12/2029,"IPCA + 7,1096%","8,3257","7,9721","8,1636","0,1376","8,026","8,3012","793,904487","98,025","511,38",,15/05/2027
954,ORIG11,ORIGEM ENERGIA S.A (*),15/12/2035,"IPCA + 8,4001%","10,2024","9,7469","9,9018","0,2015","9,7003","10,1033","1028,116764","92,6873","1376,11",35.0,15/08/2032
955,ORIG12,ORIGEM ENERGIA S.A,15/12/2035,"IPCA + 10,0361%","10,295","9,868","10,1273","0,1122","10,0151","10,2397","1004,892241","99,5561","1352,23",10.0,15/08/2032
956,PALF38,COMPANHIA PAULISTA DE FORÇA E LUZ,15/09/2027,"IPCA + 5,05%","8,0361","7,6913","8,0341","0,4666","7,5675","8,5007","965,163794","96,0602","360,7",,15/05/2027
957,PALFA3,COMPANHIA PAULISTA DE FORÇA E LUZ (*),15/10/2033,"IPCA + 6,1774%","7,1467","6,7737","6,9567","0,0441","6,9126","7,0009","1074,912357","95,9563","1417,46",,15/08/2032
958,PALFB3,COMPANHIA PAULISTA DE FORÇA E LUZ (*),15/10/2035,"IPCA + 6,1753%","7,1548","6,8477","6,9554","0,0668","6,8886","7,0223","1065,42322","95,11","1717,07",,15/05/2035
959,PALFB6,COMPANHIA PAULISTA DE FORÇA E LUZ (*),15/02/2035,"IPCA + 7,7082%","7,1053","6,7758","6,9533","0,0351","6,9182","6,9884","1076,554736","104,544",1599,,15/05/2033
960,PASN12,PARANAGUA SANEAMENTO S/A (*),15/07/2030,"IPCA + 6,1%","8,7315","8,5236","8,6179","0,0809","8,537","8,6989","692,640991","94,7403","574,67",,15/08/2028
961,PAXA12,PAX INVESTIMENTOS EM AEROPORTOS S.A (*),15/02/2040,"IPCA + 9,5844%","8,7087","8,3913","8,5366","0,0476","8,489","8,5843","1149,817106","107,1478","1828,29",,15/05/2035
962,PEJA11,PRIO FORTE S.A (*),15/08/2032,"IPCA + 7,41%","7,5983","7,2733","7,41","0,1","7,31","7,5102","1152,117308",100,"938,27",,15/05/2029
963,PEJA22,PRIO FORTE S.A (*),15/02/2034,"IPCA + 6,4662%","7,5687","7,2509","7,3656","0,075","7,2907","7,4407","1027,380659","95,1403","1486,5",,15/05/2033
964,PEJA23,PRIO FORTE S.A (*),15/04/2034,"IPCA + 6,5102%","7,5904","7,2386","7,4038","0,0616","7,3422","7,4656","1043,706861","95,2004","1476,78",,15/05/2033
965,PETR16,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**),15/01/2026,"IPCA + 4,046%","8,9169","8,3803","8,6476","0,4903","8,1574","9,138","1423,545656","98,6017",82,,
966,PETR17,PETRÓLEO BRASILEIRO S/A - PETROBRAS,15/09/2029,"IPCA + 3,6%","7,0155","6,7259","6,843","0,0703","6,7727","6,9134","1250,579637","89,1622","935,68",,15/05/2029
967,PETR18,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*),15/06/2035,"IPCA + 6,3874%","6,7279","6,431","6,5666","0,0647","6,5019","6,6315","1006,400276","98,783","1831,2",,15/05/2035
968,PETR26,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**),15/01/2029,"IPCA + 4,2186%","7,0185","6,6998","6,8456","0,067","6,7786","6,9126","1337,477316","92,6115","775,68",10.0,15/05/2029
969,PETR27,PETRÓLEO BRASILEIRO S/A - PETROBRAS,15/09/2034,"IPCA + 3,9%","6,7752","6,4738","6,6477","0,0299","6,6178","6,6778","1151,405955","82,0886","1884,06",,15/05/2035
970,PETR28,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*),15/06/2040,"IPCA + 6,6556%","6,5679","6,28","6,3869","0,1157","6,2712","6,5027","1043,100151","102,3239","2302,55",35.0,15/08/2040
971,PETR38,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*),15/06/2045,"IPCA + 6,8431%","6,7452","6,2877","6,4162","0,1577","6,2585","6,574","1064,882845","104,417","2743,19",35.0,15/05/2045
972,PLSB1A,AUTOPISTA LITORAL SUL S/A. (*),15/10/2031,"IPCA + 5,855%","7,917","7,5218","7,6665","0,038","7,6285","7,7047","1179,776739","94,4182","846,48",35.0,15/05/2029
